DISPCountry,DISPRegion,DIRefYear,DIGiniIndex,DIPctIncShareHighest10,DIPctIncShareLowest10
United Kingdom,Europe,2016,34.8,26.8,2.8
Spain,Europe,2017,34.7,25.4,2.1
Armenia,Europe,2018,34.4,29.2,3.3
Greece,Europe,2017,34.4,25.9,2.4
Macedonia,Europe,2017,34.2,23.8,1.7
Portugal,Europe,2017,33.8,26.7,2.7
West Bank and Gaza,Europe,2016,33.7,25.2,2.9
Albania,Europe,2017,33.2,24.8,3.1
Bosnia and Herz.,Europe,2011,33,25.1,2.9
Ireland,Europe,2016,32.8,25.9,3.1
Switzerland,Europe,2017,32.7,25.5,3.1
Germany,Europe,2016,31.9,24.6,2.9
France,Europe,2017,31.6,25.8,3.2
Cyprus,Europe,2017,31.4,25.5,3.4
Hungary,Europe,2017,30.6,23.9,3
Croatia,Europe,2017,30.4,22.8,2.7
Estonia,Europe,2017,30.4,22.5,3
Austria,Europe,2017,29.7,23,3
Poland,Europe,2017,29.7,23.5,3.2
Malta,Europe,2017,29.2,23.3,3.4
Kosovo,Europe,2017,29,24.6,3.8
Sweden,Europe,2017,28.8,22.3,3
Denmark,Europe,2017,28.7,24,3.7
Netherlands,Europe,2017,28.5,23.3,3.5
Belgium,Europe,2017,27.4,21.9,3.3
Finland,Europe,2017,27.4,22.6,3.8
Norway,Europe,2017,27,21.6,3.3
Iceland,Europe,2015,26.8,22.5,3.9
Ukraine,Europe,2018,26.1,22,4.2
Moldova,Europe,2018,25.7,22,4.4
Belarus,Europe,2018,25.2,21.4,4.3
Slovakia,Europe,2016,25.2,19.9,2.9
Czechia,Europe,2017,24.9,21.5,4.2
Slovenia,Europe,2017,24.2,20.4,4.1
Iran,Middle east,2017,40.8,31.3,2.3
Yemen,Middle east,2014,36.7,29.4,3
Jordan,Middle east,2010,33.7,27.5,3.5
United Arab Emirates,Middle east,2014,32.5,21.4,2.3
Lebanon,Middle east,2011,31.8,24.8,3.1
Egypt,Middle east,2017,31.5,26.9,3.8
Iraq,Middle east,2012,29.5,23.7,3.7
United States of America,North America,2016,41.1,30.4,1.8
Canada,North America,2017,33.3,25.3,2.7
Suriname,South/Latin America,1999,57.6,42.7,
Brazil,South/Latin America,2018,53.9,42.5,1
Belize,South/Latin America,1999,53.3,42.4,0.9
Honduras,South/Latin America,2018,52.1,39.1,0.9
Saint Lucia,South/Latin America,2016,51.2,38.6,0.9
Colombia,South/Latin America,2018,50.4,39.7,1.4
Panama,South/Latin America,2018,49.2,37.1,1.2
Guatemala,South/Latin America,2014,48.3,38,1.7
Costa Rica,South/Latin America,2018,48,36.3,1.5
Venezuela,South/Latin America,2006,46.9,34.1,0.5
Nicaragua,South/Latin America,2014,46.2,37.2,2
Paraguay,South/Latin America,2018,46.2,35.9,1.7
Jamaica,South/Latin America,2004,45.5,35.8,2.1
Ecuador,South/Latin America,2018,45.4,34.4,1.6
Mexico,South/Latin America,2018,45.4,36.4,2
Guyana,South/Latin America,1998,44.6,34.1,1.5
Chile,South/Latin America,2017,44.4,36.3,2.3
Dominican Rep.,South/Latin America,2018,43.7,35.2,2.3
Peru,South/Latin America,2018,42.8,32.1,1.8
Bolivia,South/Latin America,2018,42.2,30.4,1.5
Argentina,South/Latin America,2018,41.4,29.9,1.8
Haiti,South/Latin America,2012,41.1,31.2,2.1
Uruguay,South/Latin America,2018,39.7,29.7,2.3
El Salvador,South/Latin America,2018,38.6,29.4,2.4
